data;

set V := v1 v2 v3 v4 v5 v6;

set E :=	(*, *)	:	v1 v2 v3 v4 v5 v6	:=
			v1	-  +  -  +  -  -
			v2	+  -  +  -  -  +
			v3	-  +  -  -  +  +
			v4	+  -  -  -  +  -
			v5	-  -  +  +  -  +
			v6	-  +  +  -  +  -  ;

set P := p1 p2 p3 p4;

set K := k1 k2;

param c_e :=	[*,*]	:	v1 v2 v3 v4 v5 v6	:=
			v1	0  5  0  5  0  0
			v2	5  0  5  0  0  5
			v3	0  5  0  0  5  5
			v4	5  0  0  0  5  0
			v5	0  0  5  5  0  5
			v6	0  5  5  0  5  0  ;

param b_v :=	v1 1
		v2 1
		v3 3
		v4 1
		v5 3
		v6 2;

param d	:=	k1 35
		k2 5;

param exist_PK	:=	[*, *]	:	p1 p2 p3 p4 :=
				k1	1  1  1  1
				k2	1  0  0  0  ;


param c_p	:=	[*, *]	:	p1 p2 p3 p4 :=
				k1	35 35 35 35
				k2	5  0  0  0  ;

param exist_edge_PK	:=
			[k1, p1, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  1  0
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0 
			[k1, p2, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  0  1
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  1  0 
			[k1, p3, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  1
					v3	0  1  0  0  0  0
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  1  0 
			[k1, p4, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  1  0  0
					v2	1  0  0  0  0  0
					v3	0  1  0  0  0  0
					v4	0  0  0  0  1  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0 
			[k2, p1, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  0  0
					v4	1  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0  
			[k2, p2, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  0  0
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0
			[k2, p3, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  0  0
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0
			[k2, p4, *, *]	:	v1 v2 v3 v4 v5 v6	:=
					v1	0  0  0  0  0  0
					v2	0  0  0  0  0  0
					v3	0  0  0  0  0  0
					v4	0  0  0  0  0  0
					v5	0  0  0  0  0  0
					v6	0  0  0  0  0  0  ;
			
param exist_node_PK	:=  [k1, *, *]  :	v1 v2 v3 v4 v5 v6	:=
					p1	0  0  1  0  1  0
					p2	0  0  1  0  1  1
					p3	0  1  1  0  1  1
					p4	1  1  1  1  1  0

			    [k2, *, *]  :	v1 v2 v3 v4 v5 v6	:=
					p1	1  0  0  1  0  0
					p2	0  0  0  0  0  0
					p3	0  0  0  0  0  0
					p4	0  0  0  0  0  0  ;

end;
